,mobile_url,mobile_name,mobile_price,mobile_rating,mobile_strike_Price,mobile_desc
10,https://filpkart.com/motorola-g84-5g-marshmallow-blue-256-gb/p/itm7807a599d2202?pid=MOBGQFX6CNRYHFGF&lid=LSTMOBGQFX6CNRYHFGFLFOXPA&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=876ba78a-ae05-4c2a-8951-6fc0d87fd307.MOBGQFX6CNRYHFGF.SEARCH&ppt=None&ppn=None&ssid=7ligqmfdf40000001695621648858&qH=532c28d5412dd75b,"MOTOROLA g84 5G (Marshmallow Blue, 256 GB)","₹19,999",4.2,"₹22,999","['12 GB RAM | 256 GB ROM', '16.64 cm (6.55 inch) Full HD+ Display', '50MP (OIS) + 8MP | 16MP Front Camera', '5000 mAh Battery', 'Snapdragon 695 Processor', '1 Year on Handset and 6 Months on Accessories']"
11,https://filpkart.com/realme-11x-5g-midnight-black-128-gb/p/itm07be1a2ff1a1b?pid=MOBGS2W3KYRQF4GZ&lid=LSTMOBGS2W3KYRQF4GZO4BBGH&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=876ba78a-ae05-4c2a-8951-6fc0d87fd307.MOBGS2W3KYRQF4GZ.SEARCH&ppt=None&ppn=None&ssid=7ligqmfdf40000001695621648858&qH=532c28d5412dd75b,"realme 11x 5G (Midnight Black, 128 GB)","₹15,999",4.3,"₹18,999","['8 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.07 cm (6.72 inch) Full HD+ Display', '64MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Dimensity 6100+ Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']"
12,https://filpkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGMFREBAHZQGY9&lid=LSTMOBGMFREBAHZQGY9QI18PF&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=876ba78a-ae05-4c2a-8951-6fc0d87fd307.MOBGMFREBAHZQGY9.SEARCH&ppt=None&ppn=None&ssid=7ligqmfdf40000001695621648858&qH=532c28d5412dd75b,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 128 GB)","₹17,200",4.4,"₹19,999","['6 GB RAM | 128 GB ROM', '16.74 cm (6.59 inch) Display', '64MP Rear Camera | 16MP Front Camera', '5000 mAh Battery', '12 Months']"
13,https://filpkart.com/infinix-hot-30i-glacier-blue-128-gb/p/itm8b42a43b35895?pid=MOBGNPK2ZTGZBRXE&lid=LSTMOBGNPK2ZTGZBRXEAFQ5YT&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=876ba78a-ae05-4c2a-8951-6fc0d87fd307.MOBGNPK2ZTGZBRXE.SEARCH&ppt=None&ppn=None&ssid=7ligqmfdf40000001695621648858&qH=532c28d5412dd75b,"Infinix HOT 30i (Glacier Blue, 128 GB)","₹9,499",4.2,"₹11,999","['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + AI Lens | 5MP Front Camera', '5000 mAh Battery', 'G37 Processor', '1 Year on Handset and 6 Months on Accessories']"
14,https://filpkart.com/infinix-hot-30i-diamond-white-128-gb/p/itm8b42a43b35895?pid=MOBGNPK29ZWFHGGD&lid=LSTMOBGNPK29ZWFHGGDKTDNDX&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=876ba78a-ae05-4c2a-8951-6fc0d87fd307.MOBGNPK29ZWFHGGD.SEARCH&ppt=None&ppn=None&ssid=7ligqmfdf40000001695621648858&qH=532c28d5412dd75b,"Infinix HOT 30i (Diamond White, 128 GB)","₹9,499",4.2,"₹11,999","['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + AI Lens | 5MP Front Camera', '5000 mAh Battery', 'G37 Processor', '1 Year on Handset and 6 Months on Accessories']"
15,https://filpkart.com/infinix-hot-30i-marigold-128-gb/p/itm8b42a43b35895?pid=MOBGNPK2GNWPUGWW&lid=LSTMOBGNPK2GNWPUGWWWTPN01&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=876ba78a-ae05-4c2a-8951-6fc0d87fd307.MOBGNPK2GNWPUGWW.SEARCH&ppt=None&ppn=None&ssid=7ligqmfdf40000001695621648858&qH=532c28d5412dd75b,"Infinix HOT 30i (Marigold, 128 GB)","₹9,499",4.2,"₹11,999","['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + AI Lens | 5MP Front Camera', '5000 mAh Battery', 'G37 Processor', '1 Year on Handset and 6 Months on Accessories']"
16,https://filpkart.com/infinix-hot-30i-marigold-64-gb/p/itm8b42a43b35895?pid=MOBGNPK2KCH77U28&lid=LSTMOBGNPK2KCH77U289VSAZE&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=876ba78a-ae05-4c2a-8951-6fc0d87fd307.MOBGNPK2KCH77U28.SEARCH&ppt=None&ppn=None&ssid=7ligqmfdf40000001695621648858&qH=532c28d5412dd75b,"Infinix HOT 30i (Marigold, 64 GB)","₹8,399",4.2,"₹9,999","['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + AI Lens | 5MP Front Camera', '5000 mAh Battery', 'G37 Processor', '1 Year on Handset and 6 Months on Accessories']"
17,https://filpkart.com/infinix-hot-30i-diamond-white-64-gb/p/itm8b42a43b35895?pid=MOBGNPK4PTXGANTP&lid=LSTMOBGNPK4PTXGANTPXFOPAU&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=876ba78a-ae05-4c2a-8951-6fc0d87fd307.MOBGNPK4PTXGANTP.SEARCH&ppt=None&ppn=None&ssid=7ligqmfdf40000001695621648858&qH=532c28d5412dd75b,"Infinix HOT 30i (Diamond White, 64 GB)","₹8,399",4.2,"₹9,999","['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + AI Lens | 5MP Front Camera', '5000 mAh Battery', 'G37 Processor', '1 Year on Handset and 6 Months on Accessories']"
18,https://filpkart.com/infinix-hot-30i-glacier-blue-64-gb/p/itm8b42a43b35895?pid=MOBGNPK2BBNPWJYR&lid=LSTMOBGNPK2BBNPWJYRIQDVWM&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=876ba78a-ae05-4c2a-8951-6fc0d87fd307.MOBGNPK2BBNPWJYR.SEARCH&ppt=None&ppn=None&ssid=7ligqmfdf40000001695621648858&qH=532c28d5412dd75b,"Infinix HOT 30i (Glacier Blue, 64 GB)","₹8,399",4.2,"₹9,999","['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + AI Lens | 5MP Front Camera', '5000 mAh Battery', 'G37 Processor', '1 Year on Handset and 6 Months on Accessories']"
19,https://filpkart.com/infinix-hot-30i-mirror-black-128-gb/p/itm8b42a43b35895?pid=MOBGNPK2U9WQFJZX&lid=LSTMOBGNPK2U9WQFJZXOPAJY7&marketplace=FLIPKART&q=mobile&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=876ba78a-ae05-4c2a-8951-6fc0d87fd307.MOBGNPK2U9WQFJZX.SEARCH&ppt=None&ppn=None&ssid=7ligqmfdf40000001695621648858&qH=532c28d5412dd75b,"Infinix HOT 30i (Mirror Black, 128 GB)","₹9,499",4.2,"₹11,999","['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + AI Lens | 5MP Front Camera', '5000 mAh Battery', 'G37 Processor', '1 Year on Handset and 6 Months on Accessories']"
